limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,4681,2021-07-01 10:13:51
DailyBulkApiBatches,15000,4605,2021-07-01 11:13:25
DailyBulkApiBatches,15000,4537,2021-07-01 12:14:09
DailyBulkApiBatches,15000,4489,2021-07-01 13:13:15
DailyBulkApiBatches,15000,4444,2021-07-01 14:12:00
DailyBulkApiBatches,15000,4386,2021-07-01 15:13:30
DailyBulkApiBatches,15000,4312,2021-07-01 16:14:26
DailyBulkApiBatches,15000,4258,2021-07-01 17:12:47
DailyBulkApiBatches,15000,4180,2021-07-01 18:13:49
DailyBulkApiBatches,15000,4135,2021-07-01 19:12:50
DailyBulkApiBatches,15000,4055,2021-07-01 20:14:26
DailyBulkApiBatches,15000,4021,2021-07-01 21:12:13
DailyBulkApiBatches,15000,3951,2021-07-01 22:14:11
DailyBulkApiBatches,15000,3907,2021-07-01 23:12:11
DailyBulkApiBatches,15000,3836,2021-07-02 00:15:34
DailyBulkApiBatches,15000,3855,2021-07-02 01:13:11
DailyBulkApiBatches,15000,3855,2021-07-02 02:13:34
DailyBulkApiBatches,15000,3859,2021-07-02 03:13:37
DailyBulkApiBatches,15000,3852,2021-07-02 04:15:06
DailyBulkApiBatches,15000,3856,2021-07-02 05:14:21
DailyBulkApiBatches,15000,3847,2021-07-02 06:14:43
DailyBulkApiBatches,15000,3840,2021-07-02 07:14:28
DailyBulkApiBatches,15000,3832,2021-07-02 08:14:43
DailyBulkApiBatches,15000,3852,2021-07-02 09:13:47
DailyBulkApiBatches,15000,3858,2021-07-02 10:13:46
DailyBulkApiBatches,15000,3849,2021-07-02 11:14:04
DailyBulkApiBatches,15000,3857,2021-07-02 12:13:17
DailyBulkApiBatches,15000,3856,2021-07-02 13:13:32
DailyBulkApiBatches,15000,3861,2021-07-02 14:13:32
DailyBulkApiBatches,15000,3860,2021-07-02 15:13:22
DailyBulkApiBatches,15000,3870,2021-07-02 16:14:16
DailyBulkApiBatches,15000,3869,2021-07-02 17:13:06
DailyBulkApiBatches,15000,3870,2021-07-02 18:11:48
DailyBulkApiBatches,15000,3873,2021-07-02 19:13:08
DailyBulkApiBatches,15000,3873,2021-07-02 20:13:55
DailyBulkApiBatches,15000,3882,2021-07-02 21:12:08
DailyBulkApiBatches,15000,3868,2021-07-02 22:13:15
DailyBulkApiBatches,15000,3813,2021-07-02 23:12:52
DailyBulkApiBatches,15000,3728,2021-07-03 00:16:30
DailyBulkApiBatches,15000,3690,2021-07-03 01:13:13
DailyBulkApiBatches,15000,3620,2021-07-03 02:13:36
DailyBulkApiBatches,15000,3579,2021-07-03 03:12:14
DailyBulkApiBatches,15000,3502,2021-07-03 04:13:55
DailyBulkApiBatches,15000,3427,2021-07-03 05:14:41
DailyBulkApiBatches,15000,3392,2021-07-03 06:14:02
DailyBulkApiBatches,15000,3350,2021-07-03 07:14:15
DailyBulkApiBatches,15000,3255,2021-07-03 08:14:32
DailyBulkApiBatches,15000,3173,2021-07-03 09:14:33
DailyBulkApiBatches,15000,3142,2021-07-03 10:14:33
DailyBulkApiBatches,15000,3095,2021-07-03 11:13:25
DailyBulkApiBatches,15000,3047,2021-07-03 12:11:54
DailyBulkApiBatches,15000,2977,2021-07-03 13:14:16
DailyBulkApiBatches,15000,2874,2021-07-03 14:13:22
DailyBulkApiBatches,15000,2837,2021-07-03 15:12:58
DailyBulkApiBatches,15000,2780,2021-07-03 16:12:09
DailyBulkApiBatches,15000,2716,2021-07-03 17:13:01
DailyBulkApiBatches,15000,2679,2021-07-03 18:13:35
DailyBulkApiBatches,15000,2586,2021-07-03 19:13:43
DailyBulkApiBatches,15000,2593,2021-07-03 20:13:15
DailyBulkApiBatches,15000,2601,2021-07-03 21:13:19
DailyBulkApiBatches,15000,2684,2021-07-03 22:13:04
DailyBulkApiBatches,15000,2686,2021-07-03 23:12:47
DailyBulkApiBatches,15000,2657,2021-07-04 00:15:39
DailyBulkApiBatches,15000,2670,2021-07-04 01:14:27
DailyBulkApiBatches,15000,2666,2021-07-04 02:14:38
